u00001 connect
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":8094508,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":2612093,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":6064588,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":1147043,"roomType":"public"}
u00001 send {"type":"chat","chat":{"id":"u15068712456909919748473792","text":"u15068712458829919939838168u15068712456909919748473792"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712456909919748473792","text":"u15068712458829919939838168u15068712456909919748473792"},"_id":"5a66ce39e7d6ec0a7c19b487","user":{"id":"u15068712458829919939838168"}}
u00001 close 1000 timeout
u00001 connect
u00001 send {"type":"join","uname":"u00001","pass1":"u00001","pass2":"u00001"}
u00001 recv {"type":"join","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"},"peers":[{"id":"u15068712466809920738075994","uname":"u00000","status":"offline","state":"verify"},{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"accept"}],"rooms":[]}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":2398993,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":4448707,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":939615,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":4810286,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":172576,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline","state":"verify"},"action":"accept"}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":8919343,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":3352079,"roomType":"public"}
u00001 send {"type":"chat","chat":{"id":"u15068712456909919748473792","text":"u15068712458829919939838168u15068712456909919748473792"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712456909919748473792","text":"u15068712458829919939838168u15068712456909919748473792"},"_id":"5a66ce42e7d6ec0a7c19b4ae","user":{"id":"u15068712458829919939838168"}}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online","state":"accept"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"},"_id":"5a66ce42e7d6ec0a7c19b4b1","user":{"id":"u15068712466809920738075994"}}
u00001 send {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"},"_id":"5a66ce43e7d6ec0a7c19b4b3","user":{"id":"u15068712458829919939838168"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712456909919748473792u15068712458829919939838168"},"_id":"5a66ce44e7d6ec0a7c19b4b6","user":{"id":"u15068712456909919748473792"}}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"}}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"accept"}}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away","state":"accept"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712456909919748473792u15068712458829919939838168"},"_id":"5a66ce46e7d6ec0a7c19b4be","user":{"id":"u15068712456909919748473792"}}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"}}
u00001 send {"type":"chat","chat":{"id":"u15068712456909919748473792","text":"u15068712458829919939838168u15068712456909919748473792"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712456909919748473792","text":"u15068712458829919939838168u15068712456909919748473792"},"_id":"5a66ce48e7d6ec0a7c19b4c3","user":{"id":"u15068712458829919939838168"}}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"delete"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"},"_id":"5a66ce4ae7d6ec0a7c19b4cb","user":{"id":"u15068712466809920738075994"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":7922356,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":6408364,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away"}}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"verify"}}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline","state":"accept"}}
u00001 send {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"},"_id":"5a66ce4ce7d6ec0a7c19b4d8","user":{"id":"u15068712458829919939838168"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":8856314,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"delete"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":2050197,"roomType":"public"}
u00001 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"},"_id":"5a66ce4de7d6ec0a7c19b4de","user":{"id":"u15068712466809920738075994"}}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"}}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"verify"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":3040024,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":4186597,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":2284921,"roomType":"public"}
u00001 send {"type":"find","text":"u"}
u00001 recv {"type":"find","list":[]}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"verify"}}
u00001 send {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"verify"},"action":"accept"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"accept"}}
u00001 send {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"},"_id":"5a66ce53e7d6ec0a7c19b4ef","user":{"id":"u15068712458829919939838168"}}
u00001 send {"type":"find","text":"u"}
u00001 recv {"type":"find","list":[]}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":5967686,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":7334784,"roomType":"public"}
u00001 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"},"_id":"5a66ce55e7d6ec0a7c19b4f5","user":{"id":"u15068712466809920738075994"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":1746173,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":1447909,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"}}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":2256528,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":5911099,"roomType":"public"}
u00001 send {"type":"find","text":"u"}
u00001 recv {"type":"find","list":[]}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away","state":"accept"}}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"accept"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"},"_id":"5a66ce5be7d6ec0a7c19b508","user":{"id":"u15068712466809920738075994"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":6651883,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away"}}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"delete"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":5643221,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":519950,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":9976304,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":4273128,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":2702727,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":9754128,"roomType":"public"}
u00001 send {"type":"find","text":"u"}
u00001 recv {"type":"find","list":[{"id":"u15068712456909919748473792","uname":"u00002","status":"online"}]}
u00001 send {"type":"user","action":"invite","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online"}}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"invite"}}
u00001 send {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"invite"},"action":"cancel"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"delete"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":8056112,"roomType":"public"}
u00001 send {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"},"_id":"5a66ce65e7d6ec0a7c19b535","user":{"id":"u15068712458829919939838168"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":8565262,"roomType":"public"}
u00001 send {"type":"find","text":"u"}
u00001 recv {"type":"find","list":[{"id":"u15068712456909919748473792","uname":"u00002","status":"online"}]}
u00001 send {"type":"user","action":"invite","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online"}}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"invite"}}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":5754333,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"invite"}}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"reject"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":3557699,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":1342444,"roomType":"public"}
u00001 send {"type":"find","text":"u"}
u00001 recv {"type":"find","list":[]}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"verify"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":8617645,"roomType":"public"}
u00001 send {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"},"_id":"5a66ce6be7d6ec0a7c19b551","user":{"id":"u15068712458829919939838168"}}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":4364128,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":3374598,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"verify"}}
u00001 close 1000 timeout
u00001 connect
u00001 send {"type":"join","uname":"u00001","pass1":"u00001","pass2":"u00001"}
u00001 recv {"type":"join","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"},"peers":[{"id":"u15068712466809920738075994","uname":"u00000","status":"online","state":"accept"},{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"verify"}],"rooms":[]}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":3429953,"roomType":"public"}
u00001 send {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"},"_id":"5a66ce75e7d6ec0a7c19b56d","user":{"id":"u15068712458829919939838168"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":8877566,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":8333863,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":1183799,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":6613563,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":2727101,"roomType":"public"}
u00001 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"},"_id":"5a66ce77e7d6ec0a7c19b57a","user":{"id":"u15068712466809920738075994"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":1314947,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":7186416,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":9833570,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":4244739,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":2118368,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":2744632,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"verify"},"action":"accept"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":348851,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":74666,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":1068468,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":1498507,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":9856625,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":5771189,"roomType":"public"}
u00001 send {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"},"_id":"5a66ce7ee7d6ec0a7c19b59c","user":{"id":"u15068712458829919939838168"}}
u00001 send {"type":"find","text":"u"}
u00001 recv {"type":"find","list":[]}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":7867438,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"accept"}}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":5935661,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":4324753,"roomType":"public"}
u00001 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712456909919748473792u15068712458829919939838168"},"_id":"5a66ce81e7d6ec0a7c19b5a7","user":{"id":"u15068712456909919748473792"}}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":8833173,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":1038823,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline","state":"accept"}}
