u00000 connect
u00000 recv {"type":"find","list":[{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"}]}
u00000 send {"type":"user","action":"invite","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"}}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline","state":"invite"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":4515631,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":1268707,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":6399600,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":7533813,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online","state":"invite"}}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline","state":"invite"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":1073834,"roomType":"public"}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline"}}
u00000 send {"type":"chat","chat":{"id":"u15068712456909919748473792","text":"u15068712466809920738075994u15068712456909919748473792"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":4109125,"roomType":"public"}
u00000 recv {"type":"chat","chat":{"id":"u15068712456909919748473792","text":"u15068712466809920738075994u15068712456909919748473792"},"_id":"5a66ce39e7d6ec0a7c19b48b","user":{"id":"u15068712466809920738075994"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":2670243,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":7367143,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":3582322,"roomType":"public"}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[]}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":4589235,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":8610783,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online","state":"invite"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":1590254,"roomType":"public"}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[]}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online","state":"accept"}}
u00000 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712456909919748473792u15068712466809920738075994"},"_id":"5a66ce40e7d6ec0a7c19b4a5","user":{"id":"u15068712456909919748473792"}}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away","state":"accept"}}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online"}}
u00000 send {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"}}
u00000 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"},"_id":"5a66ce42e7d6ec0a7c19b4b1","user":{"id":"u15068712466809920738075994"}}
u00000 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"},"_id":"5a66ce43e7d6ec0a7c19b4b3","user":{"id":"u15068712458829919939838168"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":8710799,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline","state":"accept"}}
u00000 send {"type":"chat","chat":{"id":"u15068712456909919748473792","text":"u15068712466809920738075994u15068712456909919748473792"}}
u00000 recv {"type":"chat","chat":{"id":"u15068712456909919748473792","text":"u15068712466809920738075994u15068712456909919748473792"},"_id":"5a66ce45e7d6ec0a7c19b4ba","user":{"id":"u15068712466809920738075994"}}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"accept"}}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":6368248,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online","state":"accept"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":1499777,"roomType":"public"}
u00000 send {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"accept"},"action":"cancel"}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"delete"}}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[{"id":"u15068712456909919748473792","uname":"u00002","status":"online"}]}
u00000 send {"type":"user","action":"invite","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online"}}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"invite"}}
u00000 send {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"}}
u00000 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"},"_id":"5a66ce4ae7d6ec0a7c19b4cb","user":{"id":"u15068712466809920738075994"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":1475747,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away","state":"accept"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":8776816,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":6528050,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":9572375,"roomType":"public"}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline"}}
u00000 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"},"_id":"5a66ce4ce7d6ec0a7c19b4d8","user":{"id":"u15068712458829919939838168"}}
u00000 send {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"}}
u00000 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"},"_id":"5a66ce4de7d6ec0a7c19b4de","user":{"id":"u15068712466809920738075994"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":257915,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":6380823,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline","state":"accept"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":5194354,"roomType":"public"}
u00000 close 1000 timeout
u00000 connect
u00000 send {"type":"join","uname":"u00000","pass1":"u00000","pass2":"u00000"}
u00000 recv {"type":"join","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline"},"peers":[{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"reject"},{"id":"u15068712458829919939838168","uname":"u00001","status":"offline","state":"accept"}],"rooms":[]}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"verify"}}
u00000 send {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"}}
u00000 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"},"_id":"5a66ce55e7d6ec0a7c19b4f5","user":{"id":"u15068712466809920738075994"}}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"verify"}}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online","state":"accept"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":4434862,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":2087755,"roomType":"public"}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":2539553,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":7416813,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":7173974,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":5828993,"roomType":"public"}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":3222011,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"verify"}}
u00000 send {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":2570666,"roomType":"public"}
u00000 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"},"_id":"5a66ce5be7d6ec0a7c19b508","user":{"id":"u15068712466809920738075994"}}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away","state":"accept"}}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[]}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":5202219,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":6863189,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"delete"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":276570,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":8716043,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":4609882,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline","state":"accept"}}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[{"id":"u15068712456909919748473792","uname":"u00002","status":"offline"}]}
u00000 send {"type":"user","action":"invite","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline"}}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"invite"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":3780590,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"invite"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":9115911,"roomType":"public"}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[]}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":779954,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":200371,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"reject"}}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"verify"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":1602350,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":5984803,"roomType":"public"}
u00000 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"},"_id":"5a66ce65e7d6ec0a7c19b535","user":{"id":"u15068712458829919939838168"}}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"delete"}}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":6630585,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":5200067,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":8107263,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":5253859,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":8678160,"roomType":"public"}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[{"id":"u15068712456909919748473792","uname":"u00002","status":"away"}]}
u00000 send {"type":"user","action":"invite","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away"}}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"invite"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":1867497,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":4760234,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":1399959,"roomType":"public"}
u00000 send {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"invite"},"action":"cancel"}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"delete"}}
u00000 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"},"_id":"5a66ce6be7d6ec0a7c19b551","user":{"id":"u15068712458829919939838168"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":9204262,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online","state":"accept"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":7169032,"roomType":"public"}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":120756,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline","state":"accept"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":1433626,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":5469480,"roomType":"public"}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[{"id":"u15068712456909919748473792","uname":"u00002","status":"offline"}]}
u00000 send {"type":"user","action":"invite","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline"}}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"invite"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":2330508,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":5153552,"roomType":"public"}
u00000 close 1000 timeout
u00000 connect
u00000 send {"type":"join","uname":"u00000","pass1":"u00000","pass2":"u00000"}
u00000 recv {"type":"join","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online"},"peers":[{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"accept"},{"id":"u15068712458829919939838168","uname":"u00001","status":"away","state":"accept"}],"rooms":[]}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":9447661,"roomType":"public"}
u00000 send {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"}}
u00000 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712466809920738075994u15068712458829919939838168"},"_id":"5a66ce77e7d6ec0a7c19b57a","user":{"id":"u15068712466809920738075994"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":5161910,"roomType":"public"}
u00000 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712456909919748473792u15068712466809920738075994"},"_id":"5a66ce77e7d6ec0a7c19b57d","user":{"id":"u15068712456909919748473792"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":6768517,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":2150341,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline","state":"accept"}}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[]}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":6190279,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online","state":"accept"}}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"accept"}}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[]}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":3462290,"roomType":"public"}
u00000 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712458829919939838168u15068712466809920738075994"},"_id":"5a66ce7ee7d6ec0a7c19b59c","user":{"id":"u15068712458829919939838168"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":9105420,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"accept"}}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":8323997,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away","state":"accept"}}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"accept"}}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline"}}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"accept"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":8592567,"roomType":"public"}
u00000 send {"type":"chat","chat":{"id":"u15068712456909919748473792","text":"u15068712466809920738075994u15068712456909919748473792"}}
u00000 recv {"type":"chat","chat":{"id":"u15068712456909919748473792","text":"u15068712466809920738075994u15068712456909919748473792"},"_id":"5a66ce84e7d6ec0a7c19b5b1","user":{"id":"u15068712466809920738075994"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":4265042,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline","state":"accept"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":531055,"roomType":"public"}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":9307460,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":997616,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":1469065,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online","state":"accept"}}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"accept"}}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":8780469,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":9161437,"roomType":"public"}
